data,ano,mes,mes_nome,precipitacao_mm,fonte,seca,grupo_seca,decada
2000-03-01,2000,3,Mar,55.0,Sr. Luiz (Pluviômetro),0,3,2000
2000-04-01,2000,4,Abr,0.0,Sr. Luiz (Pluviômetro),1,4,2000
2000-05-01,2000,5,Mai,8.0,Sr. Luiz (Pluviômetro),1,4,2000
2000-06-01,2000,6,Jun,38.0,Sr. Luiz (Pluviômetro),0,5,2000
2000-07-01,2000,7,Jul,79.0,Sr. Luiz (Pluviômetro),0,5,2000
2000-08-01,2000,8,Ago,98.0,Sr. Luiz (Pluviômetro),0,5,2000
2000-09-01,2000,9,Set,110.0,Sr. Luiz (Pluviômetro),0,5,2000
2000-10-01,2000,10,Out,147.0,Sr. Luiz (Pluviômetro),0,5,2000
2000-11-01,2000,11,Nov,170.0,Sr. Luiz (Pluviômetro),0,5,2000
2000-12-01,2000,12,Dez,171.0,Sr. Luiz (Pluviômetro),0,5,2000
2001-01-01,2001,1,Jan,82.0,Sr. Luiz (Pluviômetro),0,5,2000
2001-02-01,2001,2,Fev,382.0,Sr. Luiz (Pluviômetro),0,5,2000
2001-03-01,2001,3,Mar,99.0,Sr. Luiz (Pluviômetro),0,5,2000
2001-04-01,2001,4,Abr,73.0,Sr. Luiz (Pluviômetro),0,5,2000
2001-05-01,2001,5,Mai,164.0,Sr. Luiz (Pluviômetro),0,5,2000
2001-06-01,2001,6,Jun,105.0,Sr. Luiz (Pluviômetro),0,5,2000
2001-07-01,2001,7,Jul,62.0,Sr. Luiz (Pluviômetro),0,5,2000
2001-08-01,2001,8,Ago,41.0,Sr. Luiz (Pluviômetro),0,5,2000
2001-09-01,2001,9,Set,96.0,Sr. Luiz (Pluviômetro),0,5,2000
2001-10-01,2001,10,Out,120.0,Sr. Luiz (Pluviômetro),0,5,2000
2001-11-01,2001,11,Nov,196.0,Sr. Luiz (Pluviômetro),0,5,2000
2001-12-01,2001,12,Dez,328.0,Sr. Luiz (Pluviômetro),0,5,2000
2002-01-01,2002,1,Jan,328.0,Sr. Luiz (Pluviômetro),0,5,2000
2002-02-01,2002,2,Fev,156.0,Sr. Luiz (Pluviômetro),0,5,2000
2002-03-01,2002,3,Mar,184.0,Sr. Luiz (Pluviômetro),0,5,2000
2002-04-01,2002,4,Abr,5.0,Sr. Luiz (Pluviômetro),1,6,2000
2002-05-01,2002,5,Mai,189.0,Sr. Luiz (Pluviômetro),0,7,2000
2002-06-01,2002,6,Jun,0.0,Sr. Luiz (Pluviômetro),1,8,2000
2002-07-01,2002,7,Jul,53.0,Sr. Luiz (Pluviômetro),0,9,2000
2002-08-01,2002,8,Ago,147.0,Sr. Luiz (Pluviômetro),0,9,2000
2002-09-01,2002,9,Set,127.0,Sr. Luiz (Pluviômetro),0,9,2000
2002-10-01,2002,10,Out,98.0,Sr. Luiz (Pluviômetro),0,9,2000
2002-11-01,2002,11,Nov,315.0,Sr. Luiz (Pluviômetro),0,9,2000
2002-12-01,2002,12,Dez,239.0,Sr. Luiz (Pluviômetro),0,9,2000
2003-01-01,2003,1,Jan,308.0,Sr. Luiz (Pluviômetro),0,9,2000
2003-02-01,2003,2,Fev,124.0,Sr. Luiz (Pluviômetro),0,9,2000
2003-03-01,2003,3,Mar,192.0,Sr. Luiz (Pluviômetro),0,9,2000
2003-04-01,2003,4,Abr,169.0,Sr. Luiz (Pluviômetro),0,9,2000
2003-05-01,2003,5,Mai,95.0,Sr. Luiz (Pluviômetro),0,9,2000
2003-06-01,2003,6,Jun,62.0,Sr. Luiz (Pluviômetro),0,9,2000
2003-07-01,2003,7,Jul,82.0,Sr. Luiz (Pluviômetro),0,9,2000
2003-08-01,2003,8,Ago,63.0,Sr. Luiz (Pluviômetro),0,9,2000
2003-09-01,2003,9,Set,77.0,Sr. Luiz (Pluviômetro),0,9,2000
2003-10-01,2003,10,Out,110.0,Sr. Luiz (Pluviômetro),0,9,2000
2003-11-01,2003,11,Nov,264.0,Sr. Luiz (Pluviômetro),0,9,2000
2003-12-01,2003,12,Dez,136.0,Sr. Luiz (Pluviômetro),0,9,2000
2004-01-01,2004,1,Jan,287.0,Sr. Luiz (Pluviômetro),0,9,2000
2004-02-01,2004,2,Fev,200.0,Sr. Luiz (Pluviômetro),0,9,2000
2004-03-01,2004,3,Mar,132.0,Sr. Luiz (Pluviômetro),0,9,2000
2004-04-01,2004,4,Abr,127.0,Sr. Luiz (Pluviômetro),0,9,2000
2004-05-01,2004,5,Mai,239.0,Sr. Luiz (Pluviômetro),0,9,2000
2004-06-01,2004,6,Jun,60.0,Sr. Luiz (Pluviômetro),0,9,2000
2004-07-01,2004,7,Jul,95.0,Sr. Luiz (Pluviômetro),0,9,2000
2004-08-01,2004,8,Ago,0.0,Sr. Luiz (Pluviômetro),1,10,2000
2004-09-01,2004,9,Set,18.0,Sr. Luiz (Pluviômetro),0,11,2000
2004-10-01,2004,10,Out,264.0,Sr. Luiz (Pluviômetro),0,11,2000
2004-11-01,2004,11,Nov,132.0,Sr. Luiz (Pluviômetro),0,11,2000
2004-12-01,2004,12,Dez,55.0,Sr. Luiz (Pluviômetro),0,11,2000
2005-01-01,2005,1,Jan,600.0,Sr. Luiz (Pluviômetro),0,11,2000
2005-02-01,2005,2,Fev,57.0,Sr. Luiz (Pluviômetro),0,11,2000
2005-03-01,2005,3,Mar,101.0,Sr. Luiz (Pluviômetro),0,11,2000
2005-04-01,2005,4,Abr,14.0,Sr. Luiz (Pluviômetro),0,11,2000
2005-05-01,2005,5,Mai,160.0,Sr. Luiz (Pluviômetro),0,11,2000
2005-06-01,2005,6,Jun,61.0,Sr. Luiz (Pluviômetro),0,11,2000
2005-07-01,2005,7,Jul,48.0,Sr. Luiz (Pluviômetro),0,11,2000
2005-08-01,2005,8,Ago,62.0,Sr. Luiz (Pluviômetro),0,11,2000
2005-09-01,2005,9,Set,134.0,Sr. Luiz (Pluviômetro),0,11,2000
2005-10-01,2005,10,Out,287.0,Sr. Luiz (Pluviômetro),0,11,2000
2005-11-01,2005,11,Nov,47.0,Sr. Luiz (Pluviômetro),0,11,2000
2005-12-01,2005,12,Dez,341.0,Sr. Luiz (Pluviômetro),0,11,2000
2006-01-01,2006,1,Jan,247.0,Sr. Luiz (Pluviômetro),0,11,2000
2006-02-01,2006,2,Fev,105.0,Sr. Luiz (Pluviômetro),0,11,2000
2006-03-01,2006,3,Mar,125.0,Sr. Luiz (Pluviômetro),0,11,2000
2006-04-01,2006,4,Abr,150.0,Sr. Luiz (Pluviômetro),0,11,2000
2006-05-01,2006,5,Mai,20.0,Sr. Luiz (Pluviômetro),0,11,2000
2006-06-01,2006,6,Jun,25.0,Sr. Luiz (Pluviômetro),0,11,2000
2006-07-01,2006,7,Jul,45.0,Sr. Luiz (Pluviômetro),0,11,2000
2006-08-01,2006,8,Ago,22.0,Sr. Luiz (Pluviômetro),0,11,2000
2006-09-01,2006,9,Set,152.0,Sr. Luiz (Pluviômetro),0,11,2000
2006-10-01,2006,10,Out,192.0,Sr. Luiz (Pluviômetro),0,11,2000
2006-11-01,2006,11,Nov,62.0,Sr. Luiz (Pluviômetro),0,11,2000
2006-12-01,2006,12,Dez,334.0,Sr. Luiz (Pluviômetro),0,11,2000
2007-01-01,2007,1,Jan,436.0,Sr. Luiz (Pluviômetro),0,11,2000
2007-02-01,2007,2,Fev,255.0,Sr. Luiz (Pluviômetro),0,11,2000
2007-03-01,2007,3,Mar,202.0,Sr. Luiz (Pluviômetro),0,11,2000
2007-04-01,2007,4,Abr,8.0,Sr. Luiz (Pluviômetro),1,12,2000
2007-05-01,2007,5,Mai,62.0,Sr. Luiz (Pluviômetro),0,13,2000
